flight_id,hardware_id,start_at_utc,field_land_uuid,land_revision_id,raw_area_m2,area_status,v4_summary_id,contour_reason,coverage_status,reason,unique_application_ha,unique_application_inside_field_ha,application_outside_field_ha,swath_integral_ha,s_minus_u_ha,repeated_application_ha,s_over_u,painted_swath_total_ha,flown_not_applied_ha,repeated_share_of_unique,contour_ha,contour_status,cell_m,coarsened,widths_used_m,s_single_width,segment_length_m,uncertainty_percent,thresholds,discriminating
688575000,1581F574B235W00100Q5,2026-08-17 23:13:15,84b553f3-6812-440b-a59f-61b59c0f7332,957,9926.0,RAW_CORROBORATED_QUALIFIED,80,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,1.0013,,,0.9873,-0.014,,0.986,1.0957,0.0944,-0.014,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 2.69984371902391, ""NO_APPLICATION"": 325.9415453227148, ""NO_WIDTH"": 229.33714907578937, ""STANDSTILL"": 0.0, ""WORK"": 1567.1792051115654}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.05, ""swath_work_ha"": 0.05}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688588184,1581F574B235W00100Q5,2026-08-17 23:25:09,84b553f3-6812-440b-a59f-61b59c0f7332,957,9880.0,RAW_CORROBORATED_QUALIFIED,83,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.9989,,,0.9818,-0.0171,,0.9829,1.0237,0.0248,-0.0171,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 2.5619443564627473, ""NO_APPLICATION"": 227.15236124392183, ""NO_WIDTH"": 417.370192399084, ""STANDSTILL"": 0.0, ""WORK"": 1558.460519845909}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.03, ""swath_work_ha"": 0.03}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688597204,1581F574B235W00100Q5,2026-08-17 23:36:25,84b553f3-6812-440b-a59f-61b59c0f7332,957,2733.0,RAW_CORROBORATED_QUALIFIED,86,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.2869,,,0.2807,-0.0062,,0.9784,0.3863,0.0994,-0.0216,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 1.245241270980177, ""NO_APPLICATION"": 172.7485173732897, ""NO_WIDTH"": 461.43512290968994, ""STANDSTILL"": 0.0, ""WORK"": 445.5733493527842}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.035, ""swath_work_ha"": 0.035}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
689285659,1581F574B235W00100Q5,2026-08-18 16:56:17,e4031958-c11d-46fa-8971-0e75929126c6,958,9913.0,RAW_CORROBORATED_QUALIFIED,176,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.9958,,,0.9764,-0.0194,,0.9805,1.0392,0.0434,-0.0195,,CONTOUR_ABSENT,0.5,False,6.2,True,"{""APPLICATION_EDGE"": 3.417569884386902, ""NO_APPLICATION"": 217.12717871842838, ""NO_WIDTH"": 151.01265035506154, ""STANDSTILL"": 0.0, ""WORK"": 1574.8021166980202}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.02, ""swath_work_ha"": 0.02}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
689288257,1581F574B235W00100Q5,2026-08-18 17:06:07,e4031958-c11d-46fa-8971-0e75929126c6,958,9966.0,RAW_CORROBORATED_QUALIFIED,182,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.9969,,,0.982,-0.0149,,0.9851,1.0921,0.0952,-0.0149,,CONTOUR_ABSENT,0.5,False,6.2,True,"{""APPLICATION_EDGE"": 2.4503601703905247, ""NO_APPLICATION"": 207.8596372282661, ""NO_WIDTH"": 30.395942326039282, ""STANDSTILL"": 0.0, ""WORK"": 1583.922091223144}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.04, ""swath_work_ha"": 0.04}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
689292637,1581F574B235W00100Q5,2026-08-18 17:17:09,e4031958-c11d-46fa-8971-0e75929126c6,958,10020.0,RAW_CORROBORATED_QUALIFIED,188,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,1.0168,,,0.9777,-0.0391,,0.9615,1.1927,0.1759,-0.0385,,CONTOUR_ABSENT,0.5,False,6.2,True,"{""APPLICATION_EDGE"": 5.934191045260627, ""NO_APPLICATION"": 449.4686109065033, ""NO_WIDTH"": 106.90998523731322, ""STANDSTILL"": 0.0, ""WORK"": 1576.9355261624946}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.03, ""swath_work_ha"": 0.03}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
689294880,1581F574B235W00100Q5,2026-08-18 17:27:49,e4031958-c11d-46fa-8971-0e75929126c6,958,10033.0,RAW_CORROBORATED_QUALIFIED,194,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.9984,,,0.9829,-0.0155,,0.9844,1.106,0.1076,-0.0156,,CONTOUR_ABSENT,0.5,False,6.2,True,"{""APPLICATION_EDGE"": 2.7501993365839503, ""NO_APPLICATION"": 276.24450756377945, ""NO_WIDTH"": 190.3711430114002, ""STANDSTILL"": 0.0, ""WORK"": 1585.2448730497222}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.08, ""swath_work_ha"": 0.08}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
689299532,1581F574B235W00100Q5,2026-08-18 17:40:10,e4031958-c11d-46fa-8971-0e75929126c6,958,8780.0,RAW_CORROBORATED_QUALIFIED,200,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.8929,,,0.9013,0.0084,0.0084,1.0094,0.9641,0.0712,0.0094,,CONTOUR_ABSENT,0.5,False,6.2,True,"{""APPLICATION_EDGE"": 3.2146323254220306, ""NO_APPLICATION"": 224.41020725550754, ""NO_WIDTH"": 310.6608395076631, ""STANDSTILL"": 0.0, ""WORK"": 1453.736660583216}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.0, ""swath_work_ha"": 0.0}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
689301846,1581F574B235W00100Q5,2026-08-18 17:50:51,,,0.0,CHANNEL_MISSING,205,HISTORICAL_GEOMETRY_NOT_PROVEN,NO_CONFIRMED_APPLICATION,NO_WIDTH,,,,,,,,,,,,CONTOUR_ABSENT,,,,False,"{""NO_WIDTH"": 667.7725098663074, ""STANDSTILL"": 0.0}",{},{},False
689306078,1581F574B235W00100Q5,2026-08-18 18:04:22,e0098beb-7925-4621-8984-b0515c676dea,959,9946.0,RAW_CORROBORATED_QUALIFIED,210,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.9914,,,0.984,-0.0074,,0.9925,1.0809,0.0895,-0.0075,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 1.6788571688426084, ""NO_APPLICATION"": 157.1393042551946, ""NO_WIDTH"": 432.28278616638124, ""STANDSTILL"": 0.0, ""WORK"": 1561.8289570990798}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.01, ""swath_work_ha"": 0.01}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
