flight_id,field_attribution_tier,field_land_uuid,land_snapshot_id,land_revision_id,attribution_geometry_md5,historical_geometry_available,historical_geometry_sha256,polygon_vintage
688468130,TIER2_STRONG,d2cecf61-710c-4845-a59c-f8e462a7133f,1,1168,67fce0d495d8dd870ef94cdfed3d3ceb,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688471422,TIER2_STRONG,d2cecf61-710c-4845-a59c-f8e462a7133f,1,1168,67fce0d495d8dd870ef94cdfed3d3ceb,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688475257,TIER2_STRONG,d2cecf61-710c-4845-a59c-f8e462a7133f,1,1168,67fce0d495d8dd870ef94cdfed3d3ceb,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688475258,TIER5_UNKNOWN,,,,,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688475262,TIER5_UNKNOWN,,,,,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688480071,TIER2_STRONG,844497da-755f-420f-b0ec-137da147b980,1,1167,0795c839d35df83cc7d16158677c3cca,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688484940,TIER2_STRONG,844497da-755f-420f-b0ec-137da147b980,1,1167,0795c839d35df83cc7d16158677c3cca,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688490280,TIER2_STRONG,844497da-755f-420f-b0ec-137da147b980,1,1167,0795c839d35df83cc7d16158677c3cca,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688496200,TIER2_STRONG,6e31ebad-cc23-4241-b8f6-b4efeef55d98,1,1173,00b59502708dc0821a6445daf78d3222,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688502075,TIER2_STRONG,6e31ebad-cc23-4241-b8f6-b4efeef55d98,1,1173,00b59502708dc0821a6445daf78d3222,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688507848,TIER2_STRONG,a69b184d-7109-4005-8f07-8af814c1470a,1,1174,ae4c8441afbd9af1642454d644073056,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688515728,TIER2_STRONG,a69b184d-7109-4005-8f07-8af814c1470a,1,1174,ae4c8441afbd9af1642454d644073056,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688521456,TIER2_STRONG,eae4eabe-c8e4-48b8-bdb8-f68189cda1a2,1,1175,cc98f53f796309cb8b935e9a00055d3a,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688528944,TIER2_STRONG,eae4eabe-c8e4-48b8-bdb8-f68189cda1a2,1,1175,cc98f53f796309cb8b935e9a00055d3a,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688528945,TIER5_UNKNOWN,,,,,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688528946,TIER5_UNKNOWN,,,,,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688537920,TIER2_STRONG,07c5a3a8-4aa1-4ced-b3e0-672092e68fc6,1,1170,bef134ac4f3fae308ff0715bf677b8a0,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688548587,TIER2_STRONG,07c5a3a8-4aa1-4ced-b3e0-672092e68fc6,1,1170,bef134ac4f3fae308ff0715bf677b8a0,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688548592,TIER2_STRONG,f4d4c36c-5c99-4560-b1b9-72475fd6bdfd,1,1171,d6932cc7ac214d9d43a9251e8f45794c,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688560285,TIER2_STRONG,c4114e1b-1dab-4f3d-93d7-aee823d0bc04,1,1172,c1697f0c4f94b7b69bbceea0a0d51104,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688560292,TIER2_STRONG,c4114e1b-1dab-4f3d-93d7-aee823d0bc04,1,1172,c1697f0c4f94b7b69bbceea0a0d51104,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688572902,TIER2_STRONG,c4114e1b-1dab-4f3d-93d7-aee823d0bc04,1,1172,c1697f0c4f94b7b69bbceea0a0d51104,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688586422,TIER2_STRONG,e5d2d5d8-ae06-4230-86b1-3ff2e7dd749d,1,1169,60d7797d8160dd9f3559f0ede070f543,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688592767,TIER2_STRONG,e5d2d5d8-ae06-4230-86b1-3ff2e7dd749d,1,1169,60d7797d8160dd9f3559f0ede070f543,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688608292,TIER2_STRONG,e5d2d5d8-ae06-4230-86b1-3ff2e7dd749d,1,1169,60d7797d8160dd9f3559f0ede070f543,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688620789,TIER2_STRONG,e5d2d5d8-ae06-4230-86b1-3ff2e7dd749d,1,1169,60d7797d8160dd9f3559f0ede070f543,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688637243,TIER2_STRONG,e5d2d5d8-ae06-4230-86b1-3ff2e7dd749d,1,1169,60d7797d8160dd9f3559f0ede070f543,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688637245,TIER5_UNKNOWN,,,,,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688637246,TIER5_UNKNOWN,,,,,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689264563,TIER2_STRONG,716bab79-48fd-4bbf-9cbd-f2a1c57c65fa,1,2784,5191149887e5b2af44046f0537a66583,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689269694,TIER2_STRONG,716bab79-48fd-4bbf-9cbd-f2a1c57c65fa,1,2784,5191149887e5b2af44046f0537a66583,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689276048,TIER2_STRONG,716bab79-48fd-4bbf-9cbd-f2a1c57c65fa,1,2784,5191149887e5b2af44046f0537a66583,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689291315,TIER2_STRONG,73f5d697-1e8a-41e9-8d82-a16267d3719c,1,2785,f37828237e9c7a4ffd47ce4b6e066d90,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689294253,TIER2_STRONG,73f5d697-1e8a-41e9-8d82-a16267d3719c,1,2785,f37828237e9c7a4ffd47ce4b6e066d90,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689298227,TIER2_STRONG,73f5d697-1e8a-41e9-8d82-a16267d3719c,1,2785,f37828237e9c7a4ffd47ce4b6e066d90,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689302278,TIER2_STRONG,73f5d697-1e8a-41e9-8d82-a16267d3719c,1,2785,f37828237e9c7a4ffd47ce4b6e066d90,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689303735,TIER2_STRONG,73f5d697-1e8a-41e9-8d82-a16267d3719c,1,2785,f37828237e9c7a4ffd47ce4b6e066d90,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689306323,TIER2_STRONG,73f5d697-1e8a-41e9-8d82-a16267d3719c,1,2785,f37828237e9c7a4ffd47ce4b6e066d90,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689309221,TIER2_STRONG,73f5d697-1e8a-41e9-8d82-a16267d3719c,1,2785,f37828237e9c7a4ffd47ce4b6e066d90,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689311335,TIER2_STRONG,a36f84d0-b05b-4b37-a5d7-dc1f790a3333,1,1176,bba5f93a1238a97d831483b4d12c0416,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689314827,TIER2_STRONG,9324ceea-74bb-4349-88d2-945545cf553c,1,2786,30da407f81064ff67160520242354711,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
